Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Counterfactual,Year,Value,Upper,Lower
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2005,8.543253854,9.498395583,7.588112126
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2005,3.947230849,4.848880987,3.045580712
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2005,2.768318201,3.266114889,2.270521514
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,7.333491787,8.12812027,6.538863305
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,5.614274961,6.342815272,4.88573465
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2005,4.255662869,5.184276768,3.327048969
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2006,8.700372532,9.696398612,7.704346452
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2006,3.349529702,4.170216271,2.528843133
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2006,2.735413103,3.20560236,2.265223845
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,7.194476983,7.918110691,6.470843276
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,5.677565826,6.409914979,4.945216673
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2006,4.640883985,5.507652897,3.774115073
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2007,8.611051336,9.55388918,7.668213493
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2007,3.144777991,3.90448359,2.385072392
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2007,2.749091898,3.191147263,2.307036532
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,7.015178612,7.763481233,6.26687599
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,5.744055683,6.502774639,4.985336727
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2007,4.614266065,5.468694378,3.759837752
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2008,8.736501724,9.716989092,7.756014355
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2008,3.110589406,3.858365402,2.36281341
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2008,2.713156228,3.152371383,2.273941073
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,7.102485708,7.861277785,6.34369363
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,6.024978615,6.810686953,5.239270276
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2008,4.677129163,5.518383804,3.835874521
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2009,8.92059388,9.896672196,7.944515564
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2009,3.088396244,3.825584127,2.351208361
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2009,2.718502141,3.144231542,2.292772741
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,7.093868494,7.852022741,6.335714247
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,6.016347063,6.799659356,5.23303477
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2009,4.667748541,5.490821331,3.844675751
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2010,9.061919336,10.06675869,8.057079986
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2010,3.034448568,3.753234426,2.315662711
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2010,2.634403492,3.035554035,2.23325295
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,7.177242792,7.90923984,6.445245744
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,6.196064663,6.992147002,5.399982324
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2010,4.658675877,5.457483721,3.859868034
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2011,9.207268188,10.25363704,8.160899333
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2011,3.010380346,3.724850964,2.295909729
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2011,2.653942394,3.066257719,2.241627068
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,7.194466117,7.965489649,6.423442586
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,6.28452585,7.114820521,5.454231178
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2011,4.651025969,5.45743731,3.844614628
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2012,9.338769244,10.424401,8.253137489
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2012,2.868233259,3.553769123,2.182697395
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2012,2.778329376,3.214950234,2.341708519
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2012,7.192598734,7.985092924,6.400104544
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2012,6.405042075,7.240620923,5.569463226
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2012,4.798628499,5.607498494,3.989758505
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2013,9.128351892,10.14074446,8.115959319
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2013,2.859677938,3.290919973,2.428435902
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2013,2.637277028,3.247749762,2.026804293
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,6.873913963,7.623927598,6.123900328
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,6.300871756,7.113625461,5.488118052
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2013,4.618343552,5.359043672,3.877643432
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2014,9.125180273,10.21568089,8.034679652
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2014,2.883764526,3.320847872,2.44668118
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2014,2.511634024,3.076927239,1.946340809
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,6.746599067,7.513024882,5.980173251
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,6.360826548,7.220216232,5.501436864
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2014,4.572131006,5.280193791,3.86406822
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2015,9.489509744,10.68150137,8.297518116
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2015,2.907915317,3.37361292,2.442217713
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2015,2.584519246,3.152741653,2.016296839
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,7.00442613,7.81224143,6.19661083
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,6.524269145,7.377683281,5.670855009
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2015,4.699618483,5.401072983,3.998163983
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2016,9.41991658,10.60611127,8.23372189
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2016,2.870037229,3.321323562,2.418750897
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2016,2.612623662,3.139090303,2.086157021
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,7.22738408,8.02724022,6.42752794
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,7.030928343,7.906352748,6.155503937
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2016,4.792449197,5.464389003,4.12050939
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2017,9.740591583,11.00272086,8.478462301
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2017,2.909226873,3.39045808,2.427995666
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2017,2.572485282,3.084355943,2.060614622
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,7.343133496,8.197496942,6.48877005
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,7.015123755,7.899739491,6.130508019
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2017,4.965101266,5.655053985,4.275148546
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2018,9.620711183,10.81474162,8.426680743
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2018,2.945900201,3.422666968,2.469133434
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2018,2.590855263,3.089037265,2.092673262
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,7.583885317,8.54726247,6.620508164
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,7.580741288,8.448968787,6.712513789
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2018,5.156689498,5.86404142,4.449337575
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2019,9.504934968,10.73699954,8.272870399
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2019,2.955152601,3.45207105,2.458234153
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2019,2.49543273,2.992703389,1.99816207
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,7.893793662,8.901526938,6.886060385
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,7.528058892,8.423612409,6.632505374
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2019,5.198424017,5.912855063,4.483992971
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2020,9.660325844,10.86494819,8.455703494
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2020,2.930615293,3.432384788,2.428845798
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2020,2.413055802,2.889605465,1.93650614
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,8.153267211,9.156740016,7.149794406
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,7.531967722,8.439229267,6.624706177
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2020,5.237643451,5.961469785,4.513817116
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Associated,2021,9.759843119,11.02879826,8.490887982
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Associated,2021,2.915837481,3.454289902,2.37738506
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Associated,2021,2.365715255,2.868333216,1.863097294
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),E.coli,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,8.175066308,9.253093317,7.097039299
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Pseudomonas,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,7.365085821,8.277883065,6.452288578
Netherlands,All Ages,Both sexes,Deaths,Rate (per 100k),Klebsiella,Gram-negative bacteria,All infectious syndromes,Susceptible,2021,5.094660605,5.808811714,4.380509496
